,Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA,True Value,Predictive Label W2,Predictive Label W3,Predictive Label W4,Ensemble Value,Buy & Hold Value,W2 Strategy Value,Ensemble Strategy Value
107,2016-06-07,2016,6,7,Tuesday,23,2016-23,211.53,212.34,211.5,211.68,60974800.0,192.55,0.001561255776332926,189.78071428571437,188.5678000000002,+,,,,,100.0,100.0,100.0
108,2016-06-08,2016,6,8,Wednesday,23,2016-23,211.84,212.52,211.69,212.37,66170900.0,193.18,0.003259729820025869,190.2657142857143,188.6996000000002,+,,,,,100.0,100.0,100.0
109,2016-06-09,2016,6,9,Thursday,23,2016-23,211.51,212.22,211.19,212.08,73786900.0,192.92,-0.0013656097152361382,190.77785714285716,188.81000000000026,-,,,,,100.0,100.0,100.0
110,2016-06-10,2016,6,10,Friday,23,2016-23,210.46,210.86,209.43,210.07,113829200.0,191.09,-0.009477346735226377,191.07571428571438,188.8928000000002,-,,,,,100.0,100.0,100.0
111,2016-06-13,2016,6,13,Monday,24,2016-24,209.36,210.37,208.35,208.45,117751200.0,189.61,-0.00771178666612149,191.28571428571442,188.92060000000026,-,,,,,100.0,100.0,100.0
112,2016-06-14,2016,6,14,Tuesday,24,2016-24,208.0,208.74,206.92,208.04,125059300.0,189.24,-0.0019669109599800287,191.2964285714286,188.95320000000018,-,,,,,100.0,100.0,100.0
113,2016-06-15,2016,6,15,Wednesday,24,2016-24,208.04,209.36,207.53,207.75,109124500.0,188.98,-0.0013940324863027653,191.1971428571429,189.0180000000002,-,,,,,100.0,100.0,100.0
114,2016-06-16,2016,6,16,Thursday,24,2016-24,207.75,208.57,205.59,208.37,149533100.0,189.54,0.0029842078970445662,191.13428571428574,189.05340000000018,+,,,,,100.0,100.0,100.0
115,2016-06-17,2016,6,17,Friday,24,2016-24,207.17,207.2,205.75,206.52,117055700.0,188.84,-0.0037240114572583143,190.96285714285716,189.11980000000025,-,,,,,100.0,100.0,100.0
116,2016-06-20,2016,6,20,Monday,25,2016-25,208.82,209.61,207.75,207.85,82789600.0,190.05,0.006440031284238311,190.90357142857147,189.2004000000002,+,,,,,100.0,100.0,100.0
117,2016-06-21,2016,6,21,Tuesday,25,2016-25,208.3,208.92,207.78,208.44,72461700.0,190.59,0.002838720347869028,190.85500000000005,189.3004000000002,+,,,,,100.0,100.0,100.0
118,2016-06-22,2016,6,22,Wednesday,25,2016-25,208.65,209.5,207.93,208.1,95560500.0,190.28,-0.0016312244623304384,190.74285714285716,189.35980000000018,-,,,,,100.0,100.0,100.0
119,2016-06-23,2016,6,23,Thursday,25,2016-25,209.81,210.87,209.27,210.81,102731400.0,192.76,0.013022441745717428,190.84857142857143,189.43080000000026,+,,,,,100.0,100.0,100.0
120,2016-06-24,2016,6,24,Friday,25,2016-25,203.63,210.85,202.72,203.24,333444400.0,185.84,-0.03590897702656648,190.3907142857143,189.36340000000027,-,,,,,100.0,100.0,100.0
121,2016-06-27,2016,6,27,Monday,26,2016-26,201.59,201.6,198.65,199.6,230775800.0,182.51,-0.017909994326304024,189.67357142857142,189.23340000000027,-,,,,,100.0,100.0,100.0
122,2016-06-28,2016,6,28,Tuesday,26,2016-26,201.48,203.23,201.12,203.2,159382400.0,185.8,0.01803629230080328,189.14642857142863,189.14280000000028,+,,,,,100.0,100.0,100.0
123,2016-06-29,2016,6,29,Wednesday,26,2016-26,204.84,206.93,204.72,206.66,137328600.0,188.96,0.017027393658039847,188.86357142857148,189.10340000000028,+,,,,,100.0,100.0,100.0
124,2016-06-30,2016,6,30,Thursday,26,2016-26,207.21,209.54,206.56,209.48,165021900.0,191.54,0.013645403930086841,188.8957142857143,189.11180000000027,+,,,,,100.0,100.0,100.0
125,2016-07-01,2016,7,1,Friday,26,2016-26,209.48,210.49,209.29,209.92,106055300.0,191.94,0.0021007041063070275,189.06214285714287,189.14880000000028,+,,,,,100.0,100.0,100.0
126,2016-07-05,2016,7,5,Tuesday,27,2016-27,208.95,209.08,207.71,208.41,109803700.0,190.56,-0.007193482246712569,189.15642857142865,189.15820000000028,-,,,,,100.0,100.0,100.0
127,2016-07-06,2016,7,6,Wednesday,27,2016-27,207.83,209.8,207.06,209.66,96021500.0,191.71,0.0059980070166785185,189.3514285714286,189.19720000000015,+,,,,,100.0,100.0,100.0
128,2016-07-07,2016,7,7,Thursday,27,2016-27,209.87,210.65,208.63,209.53,85593800.0,191.59,-0.0006201983281548529,189.49785714285716,189.2282000000002,-,,,,,100.0,100.0,100.0
129,2016-07-08,2016,7,8,Friday,27,2016-27,211.05,212.94,210.78,212.65,133971000.0,194.44,0.01489057243146674,189.89785714285716,189.30840000000015,+,,,,,100.0,100.0,100.0
130,2016-07-11,2016,7,11,Monday,28,2016-28,213.19,214.07,212.95,213.4,73633900.0,195.13,0.0035269847607639626,190.26071428571439,189.43680000000015,+,,,,,100.0,100.0,100.0
131,2016-07-12,2016,7,12,Tuesday,28,2016-28,214.53,215.3,213.43,214.95,101275600.0,196.54,0.007263149992492891,190.6857142857143,189.6138000000002,+,,,,,100.0,100.0,100.0
132,2016-07-13,2016,7,13,Wednesday,28,2016-28,215.44,215.45,214.35,214.92,87324100.0,196.52,-0.00013951083479801785,191.13142857142861,189.76060000000015,-,,,,,100.0,100.0,100.0
133,2016-07-14,2016,7,14,Thursday,28,2016-28,216.4,216.67,215.66,216.12,91230900.0,197.61,0.005583463772552921,191.47785714285718,189.9622000000002,+,,,,,100.0,100.0,100.0
134,2016-07-15,2016,7,15,Friday,28,2016-28,216.78,217.01,215.31,215.83,107155400.0,197.35,-0.0013416898620876028,192.3,190.1794000000002,-,,,,,100.0,100.0,100.0
135,2016-07-18,2016,7,18,Monday,29,2016-29,215.97,216.6,215.67,216.41,58725900.0,197.88,0.002687139462182353,193.39785714285716,190.4080000000002,+,,,,,100.0,100.0,100.0
136,2016-07-19,2016,7,19,Tuesday,29,2016-29,215.92,216.23,215.63,216.19,54345700.0,197.68,-0.0010164856984888893,194.2464285714286,190.6190000000002,-,,,,,100.0,100.0,100.0
